Fecha,Hora,Latitud,Longitud,Genero,Edad,Arma,Barrio,Id Barrio,Id Comuna,Categoria
2017-01-06,22:20:00,6.20686213,-75.58627757,Hombre,22,Arma de fuego,Cristo Rey,#1509,15,Tecnología
2017-01-06,02:00:00,6.23722385,-75.56979563,Mujer,35,No,San Diego,#1020,10,Tecnología
2017-01-06,20:30:00,6.2474758,-75.5697849,Mujer,28,No,La Candelaria,#1019,10,Tecnología
2017-01-06,00:00:00,6.27693824,-75.57174154,Mujer,37,No,Terminal de Transporte,#Inst_4,5,Otros elementos
2017-01-06,17:15:00,6.23060064,-75.57500448,Hombre,30,No,Barrio Colombia,#1401,14,Tecnología
2017-01-06,18:18:00,6.23191249,-75.60420301,Hombre,37,No,Belén,#1603,16,Prendas de vestir y accesorios
2017-01-06,08:10:00,6.28644312,-75.58340438,Mujer,25,No,Kennedy,#0607,6,Tecnología
2017-01-06,09:30:00,6.26187617,-75.56159344,Mujer,51,No,Prado,#1001,10,Tecnología
2017-01-06,12:30:00,6.22248891,-75.58323671,Hombre,26,Arma cortopunzante,Santa Fé,#1504,15,"Dinero, joyas, piedras preciosas y título valor"
2017-01-06,19:25:00,6.24784788,-75.60272213,Mujer,33,Arma cortopunzante,Simón Bolívar,#1211,12,Tecnología
2017-01-06,19:45:00,6.25908732,-75.60113993,Mujer,21,Arma de fuego,La Floresta,#1205,12,Tecnología
2017-01-06,20:00:00,6.22061767,-75.59478846,Hombre,49,No,Las Playas,#1606,16,Tecnología
2017-01-06,23:30:00,6.20875754,-75.56324464,Mujer,24,Arma de fuego,Las Lomas No.1,#1406,14,"Dinero, joyas, piedras preciosas y título valor"
2017-01-06,18:18:00,6.23191249,-75.60420301,Hombre,37,No,Belén,#1603,16,"Dinero, joyas, piedras preciosas y título valor"
2017-01-06,12:30:00,6.22248891,-75.58323671,Hombre,26,Arma cortopunzante,Santa Fé,#1504,15,Tecnología
2017-01-06,22:20:00,6.20686213,-75.58627757,Hombre,22,Arma de fuego,Cristo Rey,#1509,15,Tecnología
2017-01-06,04:10:00,6.25458672,-75.56721535,Hombre,39,Arma cortopunzante,Estación Villa,#1005,10,Tecnología
